id_licencia,emp_direccion
314,MZ. P-2 LOTE 20 - URB. DERRAMA MAGISTERIAL  CHICLAYO 
315,CA. 07 DE ENERO N 239 - DTO. 201 CHICLAYO
316,CA. ALFONSO UGARTE N 1036 CHICLAYO 
317,CA. MANUEL MARIA IZAGA N 556 CHICLAYO 
318,AV. ELVIRA GARCÍA  Y GARCÍA N 165 - URB. LOS PARQUES 
319,AV. PEDRO RUIZ N 1000 - CHICLAYO
320,CA. ORIENTE N 199 - CHICLAYO
321,CA. MANUEL PARDO N 666 URB. SAN LUIS 
322,CA. 08 DE OCTUBRE N 110 CHICLAYO 
323,AV. MARISCAL NIETO N 320 CHICLAYO
324,CA. TARAPACA N 399 URB. CAMPODONICO - CHICLAYO 
325,CA. SANTA MARTHA N 380 PP.JJ. SIMON BOLIVAR
326,CA. ALFONSO UGARTE N 646 - CHICLAYO 
327,CA. ALFREDO LAPOINT N 426 CHICLAYO 
328,CA. JUAN CUGLIEVAN Nª 1441 - CHICLAYO
329,CALLE ALFREDO LAPOINT N 636 - CHICLAYO
330,AV. JOSE BALTA N 1750 CHICLAYO 
331,CA. LOS TULIPANES N 398 URB. LOS PARQUES 
332,CA. SAN JOSE N 981 - CHICLAYO
333,CALLE ALFONSO UGARTE N 1654  - CHICLAYO
334,CA. JUAN FANNING N 121 - STAND D 75-76 - CHICLAYO 
335,CA. SANTA CRUZ DE PACHACUTEC N 491 - PP.JJ. 09 DE OCTUBRE
336,CA. ELIAS AGUIRRE N 650 - CHICLAYO
337,CA. LETICIA N 219 - CHICLAYO
338,AV. VICTOR R. HAYA  DE LA TORRE N 694-1 PISO - URB. FEDERICO VILLARREAL
339,AV. 09 DE OCTUBRE N 698 PP.JJ. 09 DE OCTUBRE 
340,AV. JOSÉ BALTA N 1374 - CHICLAYO 
341,AV. EL EJERCITO N 370 PP.JJ. 09 DE OCTUBRE - CHICLAYO 
342,CA. JUAN FANNING N 311 CHICLAYO 
343,CA. ALFREDO LAPOINT N 857 - CHICLAYO
344,CA. NAZARETH N 899 - PP.JJ. ZAMORA - CHICLAYO
345,AV. PROGRESO MZ. L LT.01 - PJ SANTO TORIBIO DE MOGROVEJO - CHICLAYO
346,AV. SESQUICENTENARIO N 519 - 2 PISO DPTO. 201 - URB. SANTA VICTORIA
347,CA. LOS MANGLARES N 215 URB. FEDERICO VILLARREAL
348, CA. ALFONSO UGARTE N 1374 2 PISO - CHICLAYO 
349,AV. JOSE BALTA 1600 - STAND Nª 01 - CHICLAYO 
350,CA. ELIAS AGUIRRE N 631 INT. 201 - CHICLAYO 
351,AV. FERNANDO BELAUNDE TERRY N 700 - CHICLAYO 
352,AV. MIGUEL GRAU N 467-A URB. SANTA VICTORIA
